supermarket,category,name,price,reference_price,reference_unit,insert_date
dia-es,charcuteria_y_quesos,Pechuga de pavo NUESTRA ALACENA pack 2 unidades SOBRE 400 GR,3.55,8.88,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón cocido extra NUESTRA ALACENA pack 2 unidades SOBRE 450 GR,3.59,7.98,kg,2023-07-10
dia-es,charcuteria_y_quesos,Bacon en tiras NUESTRA ALACENA pack 2 unidades BANDEJA 200 GR,1.79,8.95,kg,2023-07-10
dia-es,charcuteria_y_quesos,Bacon NUESTRA ALACENA  SOBRE 200 GR,1.99,9.95,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón cocido extra 97% carne NUESTRA ALACENA  SOBRE 150 GR,2.05,13.67,kg,2023-07-10
dia-es,charcuteria_y_quesos,Pechuga de pavo 90% carne NUESTRA ALACENA  SOBRE 120 GR,2.29,19.08,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón cocido extra ELPOZO 1954  SOBRE 150 GR,2.0,13.33,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón cocido extra CAMPOFRIO FINISSIMAS  SOBRE 115 GR,2.2,19.13,kg,2023-07-10
dia-es,charcuteria_y_quesos,Fiambre de pavo sándwich ELPOZO   BANDEJA 270 GR,2.0,7.41,kg,2023-07-10
dia-es,charcuteria_y_quesos,Pechuga de pavo CAMPOFRIO FINISSIMAS  SOBRE 115 GR,2.2,19.13,kg,2023-07-10
dia-es,charcuteria_y_quesos,Mortadela NUESTRA ALACENA  SOBRE 250 GR,1.35,5.4,kg,2023-07-10
dia-es,charcuteria_y_quesos,Mortadela con aceitunas NUESTRA ALACENA  SOBRE 250 GR,1.45,5.8,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón cocido extra bajo en sal NUESTRA ALACENA  SOBRE 200 GR,1.99,9.95,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón de pavo NUESTRA ALACENA  SOBRE 200 GR,1.65,8.25,kg,2023-07-10
dia-es,charcuteria_y_quesos,Bacon en lonchas ELPOZO   SOBRE 110 GR,1.5,13.64,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón de pavo con trufa y boletus ELPOZO   SOBRE 120 GR,2.0,16.67,kg,2023-07-10
dia-es,charcuteria_y_quesos,Chopped lata NUESTRA ALACENA  SOBRE 250 GR,1.99,7.96,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón cocido ELPOZO   SOBRE 140 GR,1.5,10.71,kg,2023-07-10
dia-es,charcuteria_y_quesos,Pavo maxi NUESTRA ALACENA  900 GR,2.85,3.17,kg,2023-07-10
dia-es,charcuteria_y_quesos,Cabeza de jabalí NUESTRA ALACENA  SOBRE 200 GR,1.99,9.95,kg,2023-07-10
dia-es,charcuteria_y_quesos,Lacón ahumado NUESTRA ALACENA  SOBRE 200 GR,1.91,9.56,kg,2023-07-10
dia-es,charcuteria_y_quesos,Mortadela Bologna I.G.P. SELECCION MUNDIAL  SOBRE 150 GR,1.79,11.93,kg,2023-07-10
dia-es,charcuteria_y_quesos,Chopped pork NUESTRA ALACENA  500 GR,2.29,4.58,kg,2023-07-10
dia-es,charcuteria_y_quesos,Mortadela NUESTRA ALACENA  500 GR,2.09,4.18,kg,2023-07-10
dia-es,charcuteria_y_quesos,Pechuga de pollo NUESTRA ALACENA  SOBRE 200 GR,2.25,11.25,kg,2023-07-10
dia-es,charcuteria_y_quesos,Pechuga de pollo braseado NUESTRA ALACENA  SOBRE 200 GR,2.35,11.75,kg,2023-07-10
dia-es,charcuteria_y_quesos,Pechuga de pavo braseado NUESTRA ALACENA  SOBRE 200 GR,2.55,12.75,kg,2023-07-10
dia-es,charcuteria_y_quesos,Panceta curada NUESTRA ALACENA  SOBRE 150 GR,1.99,13.27,kg,2023-07-10
dia-es,charcuteria_y_quesos,Chopped pork NUESTRA ALACENA  SOBRE 250 GR,1.49,5.96,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón cocido extra sabor ahumado NUESTRA ALACENA  SOBRE 250 GR,2.79,11.16,kg,2023-07-10
dia-es,charcuteria_y_quesos,Pechuga de pavo bajo en grasa NUESTRA ALACENA  500 GR,3.59,7.18,kg,2023-07-10
dia-es,charcuteria_y_quesos,Pechuga de pavo bajo en sal NUESTRA ALACENA  500 GR,3.99,7.98,kg,2023-07-10
dia-es,charcuteria_y_quesos,Chopped de pavo NUESTRA ALACENA  SOBRE 200 GR,1.79,8.95,kg,2023-07-10
dia-es,charcuteria_y_quesos,Mortadela de pavo NUESTRA ALACENA  SOBRE 200 GR,1.79,8.95,kg,2023-07-10
dia-es,charcuteria_y_quesos,Bacon en taco NUESTRA ALACENA  BOLSA 300 GR,2.99,9.97,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón york maxi NUESTRA ALACENA  800 GR,2.75,3.44,kg,2023-07-10
dia-es,charcuteria_y_quesos,Paleta cocida NUESTRA ALACENA  SOBRE 250 GR,2.65,10.6,kg,2023-07-10
dia-es,charcuteria_y_quesos,Fiambre maxi york NUESTRA ALACENA  SOBRE 400 GR,2.09,5.23,kg,2023-07-10
dia-es,charcuteria_y_quesos,Fiambre sándwich NUESTRA ALACENA  SOBRE 250 GR,1.65,6.6,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón cocido extra braseado 97% carne NUESTRA ALACENA  SOBRE 200 GR,2.99,14.95,kg,2023-07-10
dia-es,charcuteria_y_quesos,Pechuga de pavo sándwich NUESTRA ALACENA  SOBRE 250 GR,2.35,9.4,kg,2023-07-10
dia-es,charcuteria_y_quesos,Pechuga de pavo bajo en sal NUESTRA ALACENA  SOBRE 200 GR,1.67,8.36,kg,2023-07-10
dia-es,charcuteria_y_quesos,Pechuga pavo bajo en sal ELPOZO   SOBRE 400 GR,3.99,9.98,kg,2023-07-10
dia-es,charcuteria_y_quesos,Pechuga de pavo en finas lonchas ELPOZO   SOBRE 115 GR,1.5,13.04,kg,2023-07-10
dia-es,charcuteria_y_quesos,Pechuga de pavo braseado CAMPOFRIO   SOBRE 105 GR,1.5,14.29,kg,2023-07-10
dia-es,charcuteria_y_quesos,Mortadela ahumada MRM   SOBRE 200 GR,2.65,13.25,kg,2023-07-10
dia-es,charcuteria_y_quesos,Lacón en tapas MRM   BANDEJA 200 GR,4.15,20.75,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón cocido extra BONNATUR   SOBRE 140 GR,2.25,16.07,kg,2023-07-10
dia-es,charcuteria_y_quesos,Pechuga de pavo braseado CAMPOFRIO FINISSIMAS  SOBRE 115 GR,2.2,19.13,kg,2023-07-10
dia-es,charcuteria_y_quesos,Pechuguitas de pollo asada LA CARLOTEÑA   BANDEJA 100 GR,2.25,22.5,kg,2023-07-10
dia-es,charcuteria_y_quesos,Pechuga de pavo ELPOZO BIENSTAR  SOBRE 115 GR,1.5,13.04,kg,2023-07-10
dia-es,charcuteria_y_quesos,Chopped pork CAMPOFRIO   SOBRE 95 GR,1.0,10.53,kg,2023-07-10
dia-es,charcuteria_y_quesos,Mortadela clásica CAMPOFRIO   SOBRE 105 GR,1.0,9.52,kg,2023-07-10
dia-es,charcuteria_y_quesos,Fiambre de york ELPOZO   SOBRE 300 GR,2.0,6.67,kg,2023-07-10
dia-es,charcuteria_y_quesos,Pechuga de pavo ELPOZO   380 GR,3.0,7.89,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichas cocidas frankfurt FUNKY FRANK pack 4 unidades BOLSA 640 GR,1.65,2.58,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichas cocidas frankfurt con queso FUNKY FRANK pack 4 unidades BOLSA 560 GR,1.65,2.95,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichas cocidas súper FUNKY FRANK  BOLSA 350 GR,1.99,5.69,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichas cocidas Viena con queso FUNKY FRANK pack 3 unidades BOLSA 600 GR,2.29,3.82,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichas cocidas Viena de pollo FUNKY FRANK pack 3 unidades BOLSA 600 GR,2.19,3.65,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichas cocidas frankfurt CAMPOFRIO  pack 4 unidades BOLSA 560 GR,2.25,4.02,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichas cocidas wieners OSCAR MAYER   BOLSA 200 GR,1.39,6.95,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichas cocidas hot dog ELPOZO KING  BOLSA 275 GR,1.85,6.73,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichas big pavo ELPOZO  pack 3 unidades BOLSA 600 GR,2.5,4.17,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichas cocidas wieners con queso OSCAR MAYER   BOLSA 200 GR,1.34,6.7,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichas frankfurt ELPOZO   BOLSA 140 GR,0.75,5.36,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichas cocidas bockwurst SELECCION MUNDIAL  BOLSA 360 GR,3.69,10.25,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichas cocidas bratwurst SELECCION MUNDIAL  BOLSA 360 GR,3.75,10.42,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichas cocidas jumbo classic OSCAR MAYER   BOLSA 350 GR,2.45,7.0,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichas cocidas Viena clásicas FUNKY FRANK pack 3 unidades BOLSA 600 GR,2.15,3.58,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichas de pavo ELPOZO KING  BOLSA 330 GR,2.29,6.94,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichas frankfurt de pavo CAMPOFRIO  pack 3 unidades BOLSA 420 GR,1.99,4.74,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichas cocidas jumbo con queso OSCAR MAYER   BOLSA 350 GR,2.55,7.29,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón serrano reserva NUESTRA ALACENA  BANDEJA 200 GR,3.45,17.25,kg,2023-07-10
dia-es,charcuteria_y_quesos,Mini taquitos de jamón NUESTRA ALACENA pack 2 unidades BANDEJA 150 GR,2.25,15.0,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón de cebo ibérico 50% raza LEGADO   SOBRE 45 GR,2.99,66.44,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón serrano en taquitos NAVIDUL   BANDEJA 100 GR,2.0,20.0,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón curado ELPOZO   SOBRE 115 GR,2.0,17.39,kg,2023-07-10
dia-es,charcuteria_y_quesos,Paleta curada reserva 50 % duroc NUESTRA ALACENA  BANDEJA 110 GR,2.59,23.55,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón curado ELPOZO  pack 2 unidades BANDEJA 180 GR,3.0,16.67,kg,2023-07-10
dia-es,charcuteria_y_quesos,Paleta curada reserva NUESTRA ALACENA  BANDEJA 200 GR,3.45,17.25,kg,2023-07-10
dia-es,charcuteria_y_quesos,Pizcas de jamón de cebo ibérico 50 % NUESTRA ALACENA  BANDEJA 60 GR,1.99,33.17,kg,2023-07-10
dia-es,charcuteria_y_quesos,Paleta de cebo ibérica 50% NUESTRA ALACENA  BANDEJA 100 GR,4.59,45.9,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón curado bajo en sal NAVIDUL   SOBRE 68 GR,1.5,22.06,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón curado en taco NUESTRA ALACENA  BOLSA 300 GR,5.29,17.63,kg,2023-07-10
dia-es,charcuteria_y_quesos,Pétalos de jamón serrano gran reserva 50% duroc NUESTRA ALACENA  SOBRE 80 GR,2.59,32.38,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón curado NAVIDUL   SOBRE 68 GR,1.5,22.06,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón de cebo ibérico 50% NUESTRA ALACENA  BANDEJA 90 GR,4.99,55.44,kg,2023-07-10
dia-es,charcuteria_y_quesos,Paleta de cebo ibérico 50% LEGADO   SOBRE 50 GR,2.99,59.8,kg,2023-07-10
dia-es,charcuteria_y_quesos,Jamón serrano reserva NUESTRA ALACENA  BANDEJA 120 GR,2.69,22.42,kg,2023-07-10
dia-es,charcuteria_y_quesos,Fuet extra NUESTRA ALACENA pack 2 unidades BOLSA 340 GR,3.45,10.15,kg,2023-07-10
dia-es,charcuteria_y_quesos,Chorizo extra dulce NUESTRA ALACENA  BOLSA 270 GR,2.49,9.22,kg,2023-07-10
dia-es,charcuteria_y_quesos,Chorizo extra NUESTRA ALACENA pack 2 unidades BANDEJA 200 GR,1.75,8.75,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichón extra NUESTRA ALACENA pack 2 unidades BANDEJA 200 GR,1.99,9.95,kg,2023-07-10
dia-es,charcuteria_y_quesos,Chorizo extra picante NUESTRA ALACENA  BOLSA 270 GR,2.49,9.22,kg,2023-07-10
dia-es,charcuteria_y_quesos,Espetec extra CASA TARRADELLAS   BOLSA 180 GR,2.49,13.83,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salami extra NUESTRA ALACENA  BANDEJA 200 GR,1.69,8.45,kg,2023-07-10
dia-es,charcuteria_y_quesos,Espetec extra NUESTRA ALACENA  BOLSA 170 GR,2.19,12.88,kg,2023-07-10
dia-es,charcuteria_y_quesos,Chorizo de pamplona extra NUESTRA ALACENA pack 2 unidades BANDEJA 225 GR,2.09,9.29,kg,2023-07-10
dia-es,charcuteria_y_quesos,Chorizo y salchichón extra NUESTRA ALACENA pack 2 unidades BANDEJA 200 GR,2.45,12.25,kg,2023-07-10
dia-es,charcuteria_y_quesos,Longaniza payés extra NUESTRA ALACENA pack 2 unidades BANDEJA 124 GR,2.39,19.27,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichón ibérico extra NUESTRA ALACENA pack 2 unidades BANDEJA 120 GR,1.99,16.58,kg,2023-07-10
dia-es,charcuteria_y_quesos,Chorizo ibérico extra NUESTRA ALACENA pack 2 unidades BANDEJA 120 GR,1.99,16.58,kg,2023-07-10
dia-es,charcuteria_y_quesos,Cabecero de lomo MONELLS  pack 2 unidades BANDEJA 140 GR,2.85,20.36,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichón nobleza ELPOZO   BANDEJA 65 GR,1.0,15.38,kg,2023-07-10
dia-es,charcuteria_y_quesos,Mini fuet CAMPOFRIO   BOLSA 50 GR,1.55,31.0,kg,2023-07-10
dia-es,charcuteria_y_quesos,Longaniza imperial ELPOZO   BOLSA 250 GR,2.95,11.8,kg,2023-07-10
dia-es,charcuteria_y_quesos,Chorizo REVILLA   SOBRE 65 GR,1.1,16.92,kg,2023-07-10
dia-es,charcuteria_y_quesos,Caña de lomo NAVIDUL   SOBRE 40 GR,1.25,31.25,kg,2023-07-10
dia-es,charcuteria_y_quesos,Chorizo dulce PALACIOS   BOLSA 250 GR,3.95,15.8,kg,2023-07-10
dia-es,charcuteria_y_quesos,Longaniza con pavo ELPOZO   BOLSA 230 GR,3.45,15.0,kg,2023-07-10
dia-es,charcuteria_y_quesos,Lomo embuchado ya cortado ESPAÑA E HIJOS   SOBRE 200 GR,3.85,19.25,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichón extra ya cortado ESPAÑA E HIJOS   SOBRE 200 GR,2.69,13.45,kg,2023-07-10
dia-es,charcuteria_y_quesos,Chorizo extra ya cortado ESPAÑA E HIJOS   SOBRE 200 GR,2.69,13.45,kg,2023-07-10
dia-es,charcuteria_y_quesos,Chorizo a la pimienta BOADAS   SOBRE 100 GR,1.99,19.9,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichón a la pimienta SOLA   BANDEJA 100 GR,1.95,19.5,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichón ibérico NUESTRA ALACENA  BOLSA 90 GR,2.39,26.56,kg,2023-07-10
dia-es,charcuteria_y_quesos,Salchichón pavo extra NUESTRA ALACENA pack 2 unidades BANDEJA 150 GR,2.69,17.93,kg,2023-07-10
dia-es,charcuteria_y_quesos,Lomo de cebo ibérico 50% NUESTRA ALACENA  BANDEJA 80 GR,3.55,44.38,kg,2023-07-10
dia-es,charcuteria_y_quesos,Lomo embuchado NUESTRA ALACENA pack 2 unidades BANDEJA 140 GR,2.59,18.5,kg,2023-07-10
dia-es,charcuteria_y_quesos,Chorizo ibérico NUESTRA ALACENA  SOBRE 90 GR,2.39,26.56,kg,2023-07-10
dia-es,charcuteria_y_quesos,Chorizo de pavo extra NUESTRA ALACENA pack 2 unidades BANDEJA 150 GR,2.69,17.93,kg,2023-07-10
dia-es,charcuteria_y_quesos,Chorizo de león picante NUESTRA ALACENA  BANDEJA 100 GR,1.99,19.9,kg,2023-07-10
dia-es,charcuteria_y_quesos,Chorizo de león dulce NUESTRA ALACENA  BANDEJA 100 GR,1.99,19.9,kg,2023-07-10
dia-es,charcuteria_y_quesos,Chorizo de león picante NUESTRA ALACENA  BOLSA 320 GR,3.99,12.47,kg,2023-07-10
dia-es,charcuteria_y_quesos,Chorizo de león dulce NUESTRA ALACENA  BOLSA 320 GR,3.99,12.47,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso gouda SELECCION MUNDIAL  SOBRE 240 GR,1.89,7.88,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso mezcla 4 quesos rallado DIA LACTEA  BOLSA 200 GR,1.99,9.95,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso mozzarella rallado DIA LACTEA  BOLSA 200 GR,1.65,8.25,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso havarti SELECCION MUNDIAL  SOBRE 200 GR,2.49,12.45,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso curado EL CENCERRO  300 GR,3.59,11.97,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso edam SELECCION MUNDIAL  SOBRE 240 GR,1.85,7.71,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso semicurado EL CENCERRO  300 GR,3.19,10.63,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso especial pasta en polvo DIA LACTEA  BOLSA 150 GR,1.45,9.67,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso emmental rallado DIA LACTEA  BOLSA 200 GR,1.89,9.45,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso tierno EL CENCERRO  300 GR,2.85,9.5,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso cheddar SELECCION MUNDIAL  SOBRE 200 GR,1.99,9.95,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso grana padano rallado SELECCION MUNDIAL  BOLSA 100 GR,1.79,17.9,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso especial gratinar rallado DIA LACTEA  BOLSA 200 GR,1.45,7.25,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso curado italiano SELECCION MUNDIAL  BANDEJA 200 GR,2.85,14.25,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso de oveja curado EL CENCERRO  250 GR,3.49,13.96,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso mozzarella EL CENCERRO  SOBRE 200 GR,1.89,9.45,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso de oveja viejo FLOR DE ESGUEVA   150 GR,2.88,19.2,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso emmental SELECCION MUNDIAL  BOLSA 250 GR,2.35,9.4,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso havarti light SELECCION MUNDIAL  SOBRE 200 GR,2.55,12.75,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso tierno EL CENCERRO  1 KG,7.19,7.19,kg,2023-07-10
dia-es,charcuteria_y_quesos,Mezcla de 4 quesos EL CASERIO   BOLSA 120 GR,2.45,20.42,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso semicurado cortado GARCIA BAQUERO   250 GR,4.75,19.0,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso del país PRESTES   750 GR,7.15,9.53,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso tierno mezcla reducido en sal EL PASTOR   250 GR,3.95,15.8,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso ahumado PASIEGA DE PEÑA PELADA   300 GR,4.89,16.3,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso artesano reserva oveja y vaca CARMEN   200 GR,3.64,18.2,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso gouda rallado DIA LACTEA  BOLSA 200 GR,1.59,7.95,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso light rallado DIA LACTEA  BOLSA 150 GR,1.49,9.93,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso de oveja añejo EL CENCERRO  250 GR,3.99,15.96,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso havarti en lonchas ROYAL ORANGE   SOBRE 200 GR,1.99,9.95,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso gouda light SELECCION MUNDIAL  SOBRE 200 GR,1.99,9.95,kg,2023-07-10
dia-es,charcuteria_y_quesos,Dados de queso especial ensalada DIA LACTEA  BOLSA 100 GR,0.95,9.5,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso de tetilla PRESTES   BOLSA 750 GR,7.45,9.93,kg,2023-07-10
dia-es,charcuteria_y_quesos,Mini queso madurado ahumado PRESTES   450 GR,5.75,12.78,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso cheddar extra mature WYKE FARMS   BOLSA 200 GR,2.88,14.4,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso curado de oveja trufado VEGA SOTUELAMOS   170 GR,4.79,28.18,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso añejo de oveja al romero VEGA SOTUELAMOS   170 GR,3.99,23.47,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso viejo de oveja 6 meses cortado EL CENCERRO  250 GR,4.55,18.2,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso cheddar extra mature SELECCION MUNDIAL  BOLSA 200 GR,2.35,11.75,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso curado cortado EL CENCERRO  250 GR,3.84,15.36,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso tierno cortado EL CENCERRO  250 GR,3.19,12.76,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso sin lactosa rallado DIA LACTEA  BOLSA 150 GR,1.79,11.93,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso parmigiano reggiano D.O.P. SELECCION MUNDIAL  BANDEJA 150 GR,3.49,23.27,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso emmental SELECCION MUNDIAL  SOBRE 200 GR,2.39,11.95,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso gouda sin lactosa SELECCION MUNDIAL  SOBRE 200 GR,2.75,13.75,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso semicurado EL CENCERRO  930 GR,9.49,10.2,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso curado mezcla EL CENCERRO  860 GR,9.99,11.62,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso curado la cava barus GARCIA BAQUERO   250 GR,4.79,19.16,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso curado de oveja en aceite EL CENCERRO  250 GR,3.99,15.96,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso curado manchego D.O.P. EL CENCERRO  250 GR,5.25,21.0,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso semicurado GARCIA BAQUERO   250 GR,4.33,17.32,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso rallado en polvo EL CASERIO   BOLSA 80 GR,1.5,18.75,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso fresco natural DIA LACTEA pack 2 unidades TARRINA 500 GR,1.89,3.78,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso mozzarella fresca DIA LACTEA  BOLSA 125 GR,1.05,8.4,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso fresco natural DIA LACTEA pack 4 unidades TARRINA 250 GR,1.09,4.36,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso burrata SELECCION MUNDIAL  TARRINA 150 GR,2.59,17.27,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso feta griego D.O.P. DODONI   TARRINA 150 GR,3.39,22.6,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso fresco natural BURGO DE ARIAS  pack 3 unidades TARRINA 216 GR,2.88,13.33,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso fresco 0% m.g DIA LACTEA pack 4 unidades TARRINA 250 GR,1.09,4.36,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso fresco de vaca EL CENCERRO  TARRINA 250 GR,1.82,7.28,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso fresco de cabra EL CENCERRO  TARRINA 250 GR,2.84,11.36,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso mozzarella GALBANI   BOLSA 100 GR,0.96,9.6,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso fresco artesano VEGA E HIJOS   TARRINA 250 GR,2.84,11.36,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso fresco 0% m.g DIA LACTEA pack 2 unidades TARRINA 500 GR,1.95,3.9,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso blanco en dados ARLA FOODS   TARRINA 200 GR,3.64,18.2,kg,2023-07-10
dia-es,charcuteria_y_quesos,Requesón GRANJA RINYA   TARRINA 200 GR,1.09,5.45,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso fresco light EL CENCERRO  TARRINA 250 GR,2.25,9.0,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso fresco bajo en sal DIA LACTEA pack 4 unidades TARRINA 250 GR,1.49,5.96,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso fresco batido GRANJA RINYA   TARRINA 400 GR,1.89,4.73,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso mozzarella di bufala campana D.O.P. SELECCION MUNDIAL  TARRINA 125 GR,1.91,15.28,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso fresco sin lactosa DIA LACTEA pack 4 unidades TARRINA 250 GR,1.79,7.16,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso mascarpone SELECCION MUNDIAL  TARRINA 250 GR,2.49,9.96,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso fresco 0% m.g BURGO DE ARIAS  pack 3 unidades TARRINA 216 GR,2.88,13.33,kg,2023-07-10
dia-es,charcuteria_y_quesos,Tofu bio APOLOGIZE   BANDEJA 300 GR,2.49,8.3,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso fresco protein plus BURGO DE ARIAS  pack 3 unidades TARRINA 210 GR,2.88,13.71,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso fresco bajo en sal EL CENCERRO  TARRINA 250 GR,2.25,9.0,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso protein cottage ARLA FOODS   TARRINA 200 GR,2.26,11.3,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso roquefort SELECCION MUNDIAL  BANDEJA 100 GR,1.93,19.3,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso azul EL CENCERRO  BANDEJA 150 GR,1.89,12.6,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso gorgonzola D.O.P. SELECCION MUNDIAL  BANDEJA 200 GR,2.69,13.45,kg,2023-07-10
dia-es,charcuteria_y_quesos,Queso fundido sándwich DIA LACTEA  BOLSA 300 GR,1.29,4.3,kg,2023-07-10
